full_name,short_name,inn,ogrn,last_modified,address
Общество с ограниченной ответственностью «Центр коммерческой деятельности»,ООО «ЦКД»,6453102410,1086453005594,2011-04-14T16:27:32.030,"410033, Саратовская обл, г Саратов, Ленинский р-н, пр-кт им 50 лет Октября, д 101"
"Общество с ограниченной ответственностью ""Финэкс""","ООО ""Финэкс""",3665044042,1043600013929,2011-04-05T10:01:42.537,"394038, Воронежская обл, г Воронеж, ул Дорожная, д 18, офис 7"
"Общество с ограниченной ответственностью ""ИНФО-БИЗНЕС""","ООО ""ИНФО-БИЗНЕС""",1657061756,1061685050350,2011-09-02T09:54:46.470,"420095, Респ Татарстан, г Казань, Московский р-н, ул Энергетиков, д 2, офис 17"
"Общество с ограниченной ответственностью""Центр правовой поддержки""","ООО ""Центр правовой поддержки""",5834031870,1055802033737,2012-08-03T16:17:12.730,"440023, Пензенская обл, г Пенза, Железнодорожный р-н, ул Стрельбищенская, д 60, офис 303"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТ-ЦЕНТР""",ООО «Эксперт-Центр» ,6324042940,1136324009326,2014-04-14T16:49:34.757,"445054, Самарская обл, г Тольятти, Центральный р-н, ул Карбышева, д 12, ком 10"
"Общество с ограниченной ответственностью ""Содействиет""","ООО ""Содействие""",5027217264,1145027017618,2015-09-18T16:16:46.427,"140000, Московская обл, г Люберцы, Октябрьский пр-кт, д 249, помещ 22 офис 3"
"Общество с ограниченной ответственностью ""Альянс""","ООО ""Альянс""",7802654025,1187847030194,2018-06-13T11:28:49.160,"197022, г Санкт-Петербург, Петроградский р-н, ул Профессора Попова, д 41/5 литера а, помещ 3Н офис 1"
Общество с ограниченной ответственностью «Торговый дом «Энергоимпорт»,ООО «ТД «Энергоимпорт»,7702758341,1117746257640,2019-06-21T15:08:59.507,"119334, г Москва, Гагаринский р-н, ул Косыгина, д 5, помещ V ком 10"
